STUDY_ID	SAMPLE_ID	MGMT
gbm_tcga_pan_can_atlas_2018	TCGA-02-0047-01	0.7442
gbm_tcga_pan_can_atlas_2018	TCGA-02-0055-01	1.5684
gbm_tcga_pan_can_atlas_2018	TCGA-02-2483-01	-0.3632
gbm_tcga_pan_can_atlas_2018	TCGA-02-2485-01	0.2093
gbm_tcga_pan_can_atlas_2018	TCGA-02-2486-01	0.9903
gbm_tcga_pan_can_atlas_2018	TCGA-06-0125-01	-1.9571
gbm_tcga_pan_can_atlas_2018	TCGA-06-0129-01	-0.8941
gbm_tcga_pan_can_atlas_2018	TCGA-06-0130-01	0.631
gbm_tcga_pan_can_atlas_2018	TCGA-06-0132-01	1.4319
gbm_tcga_pan_can_atlas_2018	TCGA-06-0141-01	1.3156
gbm_tcga_pan_can_atlas_2018	TCGA-06-0157-01	0.5556
gbm_tcga_pan_can_atlas_2018	TCGA-06-0158-01	-0.3709
gbm_tcga_pan_can_atlas_2018	TCGA-06-0168-01	0.405
gbm_tcga_pan_can_atlas_2018	TCGA-06-0174-01	-1.4439
gbm_tcga_pan_can_atlas_2018	TCGA-06-0184-01	0.2475
gbm_tcga_pan_can_atlas_2018	TCGA-06-0187-01	-0.9449
gbm_tcga_pan_can_atlas_2018	TCGA-06-0190-01	0.7433
gbm_tcga_pan_can_atlas_2018	TCGA-06-0210-01	0.5631
gbm_tcga_pan_can_atlas_2018	TCGA-06-0211-01	-0.635
gbm_tcga_pan_can_atlas_2018	TCGA-06-0219-01	1.617
gbm_tcga_pan_can_atlas_2018	TCGA-06-0238-01	1.2713
gbm_tcga_pan_can_atlas_2018	TCGA-06-0644-01	0.9699
gbm_tcga_pan_can_atlas_2018	TCGA-06-0645-01	-0.0922
gbm_tcga_pan_can_atlas_2018	TCGA-06-0646-01	0.4523
gbm_tcga_pan_can_atlas_2018	TCGA-06-0649-01	-0.4041
gbm_tcga_pan_can_atlas_2018	TCGA-06-0686-01	-0.4037
gbm_tcga_pan_can_atlas_2018	TCGA-06-0743-01	-0.9478
gbm_tcga_pan_can_atlas_2018	TCGA-06-0744-01	-0.3082
gbm_tcga_pan_can_atlas_2018	TCGA-06-0745-01	1.2673
gbm_tcga_pan_can_atlas_2018	TCGA-06-0747-01	-1.9991
gbm_tcga_pan_can_atlas_2018	TCGA-06-0749-01	0.8365
gbm_tcga_pan_can_atlas_2018	TCGA-06-0750-01	1.2944
gbm_tcga_pan_can_atlas_2018	TCGA-06-0878-01	0.2799
gbm_tcga_pan_can_atlas_2018	TCGA-06-0882-01	0.5816
gbm_tcga_pan_can_atlas_2018	TCGA-06-1804-01	-2.1645
gbm_tcga_pan_can_atlas_2018	TCGA-06-2557-01	0.2392
gbm_tcga_pan_can_atlas_2018	TCGA-06-2558-01	0.5894
gbm_tcga_pan_can_atlas_2018	TCGA-06-2559-01	-1.366
gbm_tcga_pan_can_atlas_2018	TCGA-06-2561-01	0.3745
gbm_tcga_pan_can_atlas_2018	TCGA-06-2562-01	0.6354
gbm_tcga_pan_can_atlas_2018	TCGA-06-2563-01	-1.9118
gbm_tcga_pan_can_atlas_2018	TCGA-06-2564-01	-0.2533
gbm_tcga_pan_can_atlas_2018	TCGA-06-2565-01	-1.675
gbm_tcga_pan_can_atlas_2018	TCGA-06-2567-01	-1.2109
gbm_tcga_pan_can_atlas_2018	TCGA-06-2569-01	1.5963
gbm_tcga_pan_can_atlas_2018	TCGA-06-2570-01	-0.4765
gbm_tcga_pan_can_atlas_2018	TCGA-06-5408-01	0.4755
gbm_tcga_pan_can_atlas_2018	TCGA-06-5410-01	0.3415
gbm_tcga_pan_can_atlas_2018	TCGA-06-5411-01	0.3377
gbm_tcga_pan_can_atlas_2018	TCGA-06-5412-01	0.1147
gbm_tcga_pan_can_atlas_2018	TCGA-06-5413-01	1.1884
gbm_tcga_pan_can_atlas_2018	TCGA-06-5414-01	0.0845
gbm_tcga_pan_can_atlas_2018	TCGA-06-5415-01	0.7036
gbm_tcga_pan_can_atlas_2018	TCGA-06-5416-01	0.958
gbm_tcga_pan_can_atlas_2018	TCGA-06-5418-01	0.362
gbm_tcga_pan_can_atlas_2018	TCGA-06-5856-01	0.4334
gbm_tcga_pan_can_atlas_2018	TCGA-06-5858-01	-0.757
gbm_tcga_pan_can_atlas_2018	TCGA-06-5859-01	0.2826
gbm_tcga_pan_can_atlas_2018	TCGA-08-0386-01	-1.7472
gbm_tcga_pan_can_atlas_2018	TCGA-12-0616-01	-0.0879
gbm_tcga_pan_can_atlas_2018	TCGA-12-0618-01	-0.5238
gbm_tcga_pan_can_atlas_2018	TCGA-12-0619-01	-1.3444
gbm_tcga_pan_can_atlas_2018	TCGA-12-0821-01	0.327
gbm_tcga_pan_can_atlas_2018	TCGA-12-3650-01	-0.3103
gbm_tcga_pan_can_atlas_2018	TCGA-12-3652-01	1.4718
gbm_tcga_pan_can_atlas_2018	TCGA-12-3653-01	0.3716
gbm_tcga_pan_can_atlas_2018	TCGA-12-5295-01	-0.198
gbm_tcga_pan_can_atlas_2018	TCGA-12-5299-01	-0.0611
gbm_tcga_pan_can_atlas_2018	TCGA-14-0781-01	0.2542
gbm_tcga_pan_can_atlas_2018	TCGA-14-0787-01	-1.2922
gbm_tcga_pan_can_atlas_2018	TCGA-14-0789-01	-1.4343
gbm_tcga_pan_can_atlas_2018	TCGA-14-0790-01	-2.2133
gbm_tcga_pan_can_atlas_2018	TCGA-14-0817-01	1.7476
gbm_tcga_pan_can_atlas_2018	TCGA-14-0871-01	0.7066
gbm_tcga_pan_can_atlas_2018	TCGA-14-1034-01	-1.2424
gbm_tcga_pan_can_atlas_2018	TCGA-14-1823-01	0.258
gbm_tcga_pan_can_atlas_2018	TCGA-14-1825-01	0.3873
gbm_tcga_pan_can_atlas_2018	TCGA-14-1829-01	1.2564
gbm_tcga_pan_can_atlas_2018	TCGA-14-2554-01	0.5779
gbm_tcga_pan_can_atlas_2018	TCGA-15-0742-01	0.6631
gbm_tcga_pan_can_atlas_2018	TCGA-16-0846-01	0.162
gbm_tcga_pan_can_atlas_2018	TCGA-16-1045-01	-0.6253
gbm_tcga_pan_can_atlas_2018	TCGA-19-1390-01	-1.8019
gbm_tcga_pan_can_atlas_2018	TCGA-19-1787-01	-0.7304
gbm_tcga_pan_can_atlas_2018	TCGA-19-2619-01	-1.5351
gbm_tcga_pan_can_atlas_2018	TCGA-19-2620-01	-0.7962
gbm_tcga_pan_can_atlas_2018	TCGA-19-2624-01	-0.1744
gbm_tcga_pan_can_atlas_2018	TCGA-19-2625-01	0.7535
gbm_tcga_pan_can_atlas_2018	TCGA-19-2629-01	1.0449
gbm_tcga_pan_can_atlas_2018	TCGA-19-4065-01	0.6377
gbm_tcga_pan_can_atlas_2018	TCGA-19-5960-01	-0.1732
gbm_tcga_pan_can_atlas_2018	TCGA-26-1442-01	-0.7762
gbm_tcga_pan_can_atlas_2018	TCGA-26-5132-01	-0.6943
gbm_tcga_pan_can_atlas_2018	TCGA-26-5133-01	0.7108
gbm_tcga_pan_can_atlas_2018	TCGA-26-5134-01	0.2125
gbm_tcga_pan_can_atlas_2018	TCGA-26-5135-01	0.3313
gbm_tcga_pan_can_atlas_2018	TCGA-26-5136-01	-1.0154
gbm_tcga_pan_can_atlas_2018	TCGA-26-5139-01	0.197
gbm_tcga_pan_can_atlas_2018	TCGA-27-1830-01	-0.0818
gbm_tcga_pan_can_atlas_2018	TCGA-27-1831-01	1.8879
gbm_tcga_pan_can_atlas_2018	TCGA-27-1832-01	1.0432
gbm_tcga_pan_can_atlas_2018	TCGA-27-1834-01	-1.1919
gbm_tcga_pan_can_atlas_2018	TCGA-27-1835-01	-1.6919
gbm_tcga_pan_can_atlas_2018	TCGA-27-1837-01	-1.2769
gbm_tcga_pan_can_atlas_2018	TCGA-27-2519-01	0.6304
gbm_tcga_pan_can_atlas_2018	TCGA-27-2521-01	-1.2878
gbm_tcga_pan_can_atlas_2018	TCGA-27-2523-01	-0.4147
gbm_tcga_pan_can_atlas_2018	TCGA-27-2524-01	1.4622
gbm_tcga_pan_can_atlas_2018	TCGA-27-2526-01	1.8102
gbm_tcga_pan_can_atlas_2018	TCGA-27-2528-01	0.9344
gbm_tcga_pan_can_atlas_2018	TCGA-28-1747-01	-0.7516
gbm_tcga_pan_can_atlas_2018	TCGA-28-1753-01	0.0567
gbm_tcga_pan_can_atlas_2018	TCGA-28-2509-01	-1.102
